model,carbon_source,growth_rate,carbon_uptake_flux,note
iYO844_Minimal_iBsu1147,glucose,0.411769472163092,-5.0,
iYO844_Minimal_iBsu1147,pyruvate,0.13535973100820067,-5.0,
iYO844_Minimal_iBsu1147,lactate,0.16715564097657012,-5.0,
iYO844_Minimal_iBsu1147,fructose,0.41028036213773217,-5.0,
iYO844_Minimal_iBsu1147,malate,0.17628743447931192,-5.0,
iYO844_Minimal_iBsu1147,sucrose,0.5376229190800914,-3.2067937661009593,
iYO844_Minimal_iBsu1147,gluconate,0.3700360797141304,-5.0,
iYO844_Minimal_iBsu1147,glycerol,0.2208491138534184,-5.0,
iYO844_Minimal_iBsu1147,succinate,0.19960587819350767,-5.0,
iYO844_Minimal_iBsu1147,ethanol,,0.0,
iYO844_Minimal_iBsu1147,ethanol,,,opt_failed
