model,pathway,reaction,flux,biomass_flux
iYO844_Minimal_iBsu1147.xml,EMP,GLCpts,6.413587532201928,0.5376229190800906
iYO844_Minimal_iBsu1147.xml,EMP,PGI,6.278313541417591,0.5376229190800906
iYO844_Minimal_iBsu1147.xml,EMP,PFK,5.883444202379724,0.5376229190800906
iYO844_Minimal_iBsu1147.xml,EMP,FBA,5.883444202379724,0.5376229190800906
iYO844_Minimal_iBsu1147.xml,EMP,TPI,5.557556543258463,0.5376229190800906
iYO844_Minimal_iBsu1147.xml,EMP,GAPD,11.258599625805491,0.5376229190800906
iYO844_Minimal_iBsu1147.xml,EMP,PGK,11.258599625805491,0.5376229190800906
iYO844_Minimal_iBsu1147.xml,EMP,PGM,10.735065921754279,0.5376229190800906
iYO844_Minimal_iBsu1147.xml,EMP,ENO,10.735065921754279,0.5376229190800906
iYO844_Minimal_iBsu1147.xml,EMP,PYK,3.89929332603422,0.5376229190800906
iYO844_Minimal_iBsu1147.xml,TCA,CS,6.3172119484722495,0.5376229190800906
iYO844_Minimal_iBsu1147.xml,TCA,ACONT,6.3172119484722495,0.5376229190800906
iYO844_Minimal_iBsu1147.xml,TCA,ICDHyr,6.3172119484722495,0.5376229190800906
iYO844_Minimal_iBsu1147.xml,TCA,AKGDH,5.79204790291892,0.5376229190800906
iYO844_Minimal_iBsu1147.xml,TCA,SUCOAS,5.700482117832876,0.5376229190800906
iYO844_Minimal_iBsu1147.xml,TCA,SUCD1,5.79204790291892,0.5376229190800906
iYO844_Minimal_iBsu1147.xml,TCA,FUM,6.0920119225050495,0.5376229190800906
iYO844_Minimal_iBsu1147.xml,TCA,MDH,6.0920119225050495,0.5376229190800906
iYO844_Minimal_iBsu1147.xml,TCA,PDH,7.368853452370219,0.5376229190800906
iYO844_Minimal_iBsu1147.xml,TCA,PC,1.3540172998991018,0.5376229190800906
iYO844_Minimal_iBsu1147.xml,PPP,G6PDH2r,0.0,0.5376229190800906
iYO844_Minimal_iBsu1147.xml,PPP,PGL,0.0,0.5376229190800906
iYO844_Minimal_iBsu1147.xml,PPP,GND,0.0,0.5376229190800906
iYO844_Minimal_iBsu1147.xml,PPP,RPI,0.21908062269457218,0.5376229190800906
iYO844_Minimal_iBsu1147.xml,PPP,RPE,-0.21908062269457218,0.5376229190800906
iYO844_Minimal_iBsu1147.xml,PPP,TKT1,-0.017678833655747295,0.5376229190800906
iYO844_Minimal_iBsu1147.xml,PPP,TALA,-0.017678833655747295,0.5376229190800906
iYO844_Minimal_iBsu1147.xml,PPP,TKT2,-0.20140178903882489,0.5376229190800906
